WKT,building
"MULTIPOLYGON (((10.197608 56.1488061,10.19888 56.1487516,10.1993694 56.1487298,10.2001606 56.148713,10.2011768 56.1487386,10.2020015 56.1488188,10.2032034 56.1489455,10.2033554 56.1481891,10.2046736 56.1483792,10.2050233 56.148435,10.2051785 56.1484468,10.2053547 56.1484468,10.2063658 56.1484116,10.2072947 56.1483828,10.2077236 56.148355,10.208145 56.1483241,10.2086754 56.1482697,10.2091925 56.1482035,10.2089474 56.1475475,10.2088631 56.1472744,10.2088057 56.1470098,10.2087137 56.1465414,10.208664 56.1461371,10.2086103 56.1457445,10.208494 56.1450283,10.2084622 56.1448304,10.2083682 56.1444847,10.2082314 56.1440824,10.2080319 56.1437271,10.2077365 56.1434782,10.2074446 56.1432688,10.2071283 56.1430616,10.2067729 56.1428581,10.2061029 56.1425286,10.2057316 56.1423379,10.2049949 56.1420889,10.2045643 56.1419622,10.2034475 56.1417207,10.2032371 56.1417024,10.2029367 56.1416524,10.2027998 56.1415936,10.1998711 56.1410002,10.1980862 56.1407825,10.1965385 56.1406347,10.1959804 56.1406183,10.1950183 56.1405283,10.194924 56.1409291,10.1948252 56.1413947,10.193959 56.1413309,10.1922224 56.1423286,10.1903036 56.1434988,10.1903333 56.1436143,10.1898327 56.1439499,10.1892965 56.1441263,10.1885107 56.1446172,10.1873744 56.1454972,10.1872397 56.1455889,10.1881589 56.1459474,10.1891242 56.1463592,10.1900281 56.1467582,10.1907558 56.1471422,10.1911312 56.1473748,10.1917249 56.1478015,10.1922917 56.1481685,10.1925867 56.1483435,10.192962 56.1485355,10.1933508 56.1486966,10.1936515 56.1487751,10.1940306 56.1488037,10.1944814 56.1488603,10.1955945 56.1488965,10.1962825 56.1488995,10.197608 56.1488061)))",
"MULTIPOLYGON (((10.207841 56.1410764,10.2078668 56.1411299,10.2078009 56.1411396,10.2077821 56.1410858,10.207841 56.1410764)))",yes
"MULTIPOLYGON (((10.2077434 56.1405236,10.2078024 56.1405101,10.2084568 56.1413336,10.208025 56.1414367,10.2079794 56.1413634,10.2078668 56.1411299,10.207841 56.1410764,10.207738 56.1408628,10.2075932 56.1405579,10.2077434 56.1405236)))",yes
"MULTIPOLYGON (((10.2093363 56.1432114,10.2094195 56.143239,10.2097007 56.1433325,10.2098138 56.1432839,10.2097392 56.1432221,10.2098523 56.1431767,10.2097674 56.1431093,10.209652 56.1431578,10.2096316 56.1431402,10.2096362 56.1431276,10.2096339 56.1431156,10.2096305 56.1431036,10.2096169 56.1430942,10.2095966 56.1430847,10.2095762 56.1430828,10.2095626 56.1430828,10.209549 56.1430822,10.2095298 56.1430677,10.2095875 56.1429719,10.2095117 56.1429069,10.2093363 56.1432114)))",yes
"MULTIPOLYGON (((10.2110234 56.1432818,10.211632 56.1430488,10.2114428 56.1428955,10.2116121 56.1428307,10.211801 56.1429839,10.2123806 56.142762,10.2133087 56.1435146,10.211948 56.1440354,10.2116189 56.1437685,10.2116034 56.1437744,10.2116203 56.1437881,10.2115734 56.1438061,10.2114471 56.1437037,10.2112609 56.143775,10.2112272 56.1437477,10.2112559 56.1437367,10.2112368 56.1437212,10.2114599 56.1436357,10.2110234 56.1432818)))",yes
"MULTIPOLYGON (((10.2085141 56.141647,10.2084512 56.1415668,10.2081863 56.1416313,10.2082501 56.1417127,10.2082599 56.1417103,10.2083794 56.1418627,10.2084122 56.1419045,10.2087018 56.1422739,10.2087193 56.1422963,10.2087241 56.1423023,10.2089014 56.1422592,10.2084363 56.141666,10.2085141 56.141647)))",yes
"MULTIPOLYGON (((10.2081652 56.1418521,10.2082764 56.1418352,10.2082982 56.1418798,10.208319 56.1419223,10.2085091 56.1423112,10.2084784 56.1423159,10.2084517 56.1423199,10.2084614 56.1423396,10.2084611 56.1423446,10.2084584 56.1423495,10.2084486 56.1423545,10.2084331 56.142356,10.2084192 56.142354,10.2084075 56.1423478,10.2081652 56.1418521)))",yes
"MULTIPOLYGON (((10.2082982 56.1418798,10.2083794 56.1418627,10.2084122 56.1419045,10.208319 56.1419223,10.2082982 56.1418798)))",yes
"MULTIPOLYGON (((10.2086429 56.1423152,10.208718 56.1424093,10.2087076 56.1424118,10.208828 56.1425626,10.2086693 56.1426019,10.208546 56.1424476,10.2085612 56.1424439,10.2084889 56.1423534,10.2085089 56.1423484,10.2086429 56.1423152)))",yes
"MULTIPOLYGON (((10.2087193 56.1422963,10.2086429 56.1423152,10.2085089 56.1423484,10.2085032 56.1423417,10.2084614 56.1423396,10.2084517 56.1423199,10.2084784 56.1423159,10.2085369 56.1423152,10.2087018 56.1422739,10.2087193 56.1422963)))",yes
"MULTIPOLYGON (((10.2109489 56.140891,10.2111049 56.1408778,10.2110821 56.1407938,10.2109261 56.1408069,10.2109489 56.140891)))",yes
"MULTIPOLYGON (((10.2109164 56.1408708,10.2109005 56.1407996,10.2105724 56.1408225,10.2105884 56.1408937,10.2109164 56.1408708)))",yes
"MULTIPOLYGON (((10.2073491 56.140449,10.2073679 56.140413,10.2074538 56.1403858,10.2084445 56.1426627,10.208019 56.1427836,10.2080025 56.1427112,10.2077901 56.1421644,10.2075723 56.1414932,10.2074325 56.1409314,10.2073652 56.1406228,10.2073491 56.140449)))",
"MULTIPOLYGON (((10.2082941 56.1431657,10.2084516 56.1431936,10.2085264 56.1432035,10.2085956 56.1432228,10.2086639 56.1432546,10.2087059 56.1432906,10.2086059 56.143325,10.2087512 56.1434473,10.2087814 56.1435241,10.2088215 56.1438675,10.209054 56.1445823,10.2092449 56.144867,10.2095654 56.1451608,10.2107465 56.1463238,10.2106799 56.1463428,10.210119 56.1458609,10.2099737 56.1458112,10.2099175 56.145792,10.209636 56.1455855,10.209347 56.14547,10.209212 56.1455611,10.2091017 56.1461299,10.2090423 56.1461338,10.2089097 56.1461426,10.2089249 56.1453281,10.2089428 56.1452153,10.2088227 56.1446797,10.2087474 56.1441854,10.2085941 56.1437944,10.2084677 56.1435427,10.2082795 56.1431861,10.2082941 56.1431657)))",
"MULTIPOLYGON (((10.2070381 56.1423981,10.2063959 56.1421103,10.2063699 56.1420594,10.2067842 56.1414857,10.2068618 56.1414829,10.2068677 56.1415352,10.2070725 56.141528,10.2070568 56.14139,10.2069878 56.1413589,10.2066779 56.1413699,10.2066121 56.1414019,10.2061148 56.1420905,10.2061503 56.14216,10.2069354 56.1425118,10.2071703 56.1424854,10.2071809 56.1425146,10.2072055 56.1425118,10.2072405 56.1426083,10.2074432 56.1425855,10.2073991 56.1424639,10.2072883 56.1424764,10.2072465 56.142361,10.2073572 56.1423485,10.2073126 56.1422253,10.2071099 56.1422481,10.2071463 56.1423486,10.2071217 56.1423513,10.2071347 56.1423872,10.2070381 56.1423981)))",yes
"MULTIPOLYGON (((10.2037343 56.140866,10.2038452 56.1407764,10.2038298 56.1407704,10.203856 56.1407492,10.2038052 56.1407296,10.2038378 56.1407028,10.2038412 56.1406935,10.2038356 56.1406843,10.2038225 56.1406779,10.2038057 56.1406761,10.2037894 56.1406792,10.2037779 56.1406864,10.2037717 56.140684,10.2037171 56.1407281,10.2036361 56.1406968,10.2036148 56.140714,10.2036001 56.1407084,10.203548 56.1407504,10.203568 56.1407581,10.2035407 56.14078,10.2035497 56.1407843,10.2035424 56.1407932,10.2035761 56.1408062,10.2035891 56.1407999,10.2036692 56.1408297,10.2036598 56.1408374,10.2037343 56.140866)))",yes
"MULTIPOLYGON (((10.2034151 56.1410921,10.203421 56.1410808,10.2034606 56.1410906,10.2035406 56.1409876,10.203448 56.1409652,10.2034444 56.1409484,10.2034312 56.1409414,10.2034132 56.1409392,10.2033958 56.1409421,10.2033833 56.1409496,10.2032907 56.1409272,10.203263 56.140963,10.2032323 56.1410051,10.2032125 56.1410307,10.2032577 56.1410411,10.2032505 56.1410535,10.2034151 56.1410921)))",yes
"MULTIPOLYGON (((10.2040303 56.1407454,10.2040653 56.1407147,10.203998 56.1406909,10.2039631 56.1407215,10.2040303 56.1407454)))",yes
"MULTIPOLYGON (((10.2039973 56.1406216,10.2039335 56.1405976,10.2038915 56.1406338,10.2039511 56.1406579,10.2039973 56.1406216)))",yes
"MULTIPOLYGON (((10.2040392 56.1405105,10.2039 56.1404575,10.2038152 56.140527,10.2039543 56.14058,10.2040392 56.1405105)))",yes
"MULTIPOLYGON (((10.204123 56.1404504,10.2042147 56.140369,10.2042328 56.1403695,10.2042554 56.1403512,10.2042549 56.140341,10.2042673 56.1403297,10.2040054 56.1402322,10.2039963 56.1402398,10.2039752 56.1402319,10.2040034 56.1402084,10.2038733 56.14016,10.2037528 56.1402608,10.203881 56.1403085,10.2038412 56.140342,10.2038765 56.1403552,10.2038912 56.1403429,10.2039966 56.1403821,10.203979 56.1403968,10.204123 56.1404504)))",yes
